fiscal_year_start	group_level	salary_min	salary_max	max_performance_award
2021	EX 1	$121,550	$142,982	15.00%
	EX 2	$136,270	$160,299	15.00%
	EX 3	$152,506	$179,348	15.00%
	EX 4	$174,802	$205,650	26.00%
	EX 5	$195,908	$230,436	26.00%
	DM 1	$219,300	$258,000	26.00%
	DM 2	$252,000	$296,400	33.00%
	DM 3	$282,200	$332,000	33.00%
	DM 4	$315,900	$371,600	39.00%
2020	EX 1	$119,754	$140,869	15.00%
	EX 2	$134,256	$157,930	15.00%
	EX 3	$150,252	$176,698	15.00%
	EX 4	$172,219	$202,611	26.00%
	EX 5	$193,013	$227,031	26.00%
	DM 1	$216,000	$254,100	26.00%
	DM 2	$248,200	$292,000	33.00%
	DM 3	$278,000	$327,000	33.00%
	DM 4	$311,200	$366,100	39.00%
2019	EX 1	$117,984	$138,787	15.00%
	EX 2	$132,272	$155,596	15.00%
	EX 3	$148,032	$174,087	15.00%
	EX 4	$169,674	$199,617	26.00%
	EX 5	$190,161	$223,676	26.00%
	DM 1	$212,800	$250,300	26.00%
	DM 2	$244,500	$287,600	33.00%
	DM 3	$273,800	$322,100	33.00%
	DM 4	$306,600	$360,600	39.00%
2018	EX 1	$115,444	$135,799	15.00%
	EX 2	$129,425	$152,247	15.00%
	EX 3	$144,845	$170,340	15.00%
	EX 4	$166,022	$195,320	26.00%
	EX 5	$186,068	$218,861	26.00%
	DM 1	$208,200	$244,900	26.00%
	DM 2	$239,200	$281,400	33.00%
	DM 3	$267,900	$315,100	33.00%
	DM 4	$299,900	$352,800	39.00%
2017	EX 1	$112,300	$132,100	15.00%
	EX 2	$125,900	$148,100	15.00%
	EX 3	$140,900	$165,700	15.00%
	EX 4	$161,500	$190,000	26.00%
	EX 5	$181,000	$212,900	26.00%
	DM 1	$202,500	$238,200	26.00%
	DM 2	$232,700	$273,700	33.00%
	DM 3	$260,600	$306,500	33.00%
	DM 4	$291,700	$343,100	39.00%
2016	EX 1	$110,900	$130,400	15.00%
	EX 2	$124,300	$146,200	15.00%
	EX 3	$139,100	$163,600	15.00%
	EX 4	$159,500	$187,600	26.00%
	EX 5	$178,700	$210,200	26.00%
	DM 1	$200,000	$235,200	26.00%
	DM 2	$229,800	$270,300	33.00%
	DM 3	$257,300	$302,700	33.00%
	DM 4	$288,000	$338,800	39.00%
2015	EX 1	$108,400	$127,500	15.00%
	EX 2	$121,500	$142,900	15.00%
	EX 3	$136,000	$159,900	15.00%
	EX 4	$155,900	$183,400	26.00%
	EX 5	$174,700	$205,500	26.00%
	DM 1	$195,500	$229,900	26.00%
	DM 2	$224,700	$264,300	33.00%
	DM 3	$251,600	$296,000	33.00%
	DM 4	$281,700	$331,300	39.00%
2014	EX 1	$107,100	$125,900	15.00%
	EX 2	$120,000	$141,100	15.00%
	EX 3	$134,300	$157,900	15.00%
	EX 4	$154,000	$181,100	26.00%
	EX 5	$172,500	$202,900	26.00%
	DM 1	$193,000	$227,000	26.00%
	DM 2	$221,900	$261,000	33.00%
	DM 3	$248,500	$292,300	33.00%
	DM 4	$278,200	$327,200	39.00%
2021	GC 1	$84,400	$99,200	13.60%
	GC 2	$96,800	$113,800	13.60%
	GC 3	$111,800	$131,500	13.60%
	GC 4	$128,400	$151,000	13.60%
	GC 5	$147,500	$173,500	13.60%
	GC 6	$169,600	$199,500	23.40%
	GC 7	$195,000	$229,300	23.40%
	GC 8	$223,800	$263,200	23.40%
	GC 9	$257,500	$302,900	23.40%
	GC 10	$295,800	$347,900	28.40%
	GCQ 1	$93,100	$109,500
	GCQ 2	$106,900	$125,700
	GCQ 3	$123,300	$145,000
	GCQ 4	$141,700	$166,600
	GCQ 5	$162,700	$191,300
	GCQ 6	$198,900	$234,000
	GCQ 7	$228,900	$269,200
	GCQ 8	$262,800	$309,100
	GCQ 9	$302,100	$355,300
	GCQ 10	$356,100	$418,900
2020	GC 1	$83,100	$97,700	13.60%
	GC 2	$95,300	$112,100	13.60%
	GC 3	$110,100	$129,500	13.60%
	GC 4	$126,400	$148,700	13.60%
	GC 5	$145,300	$170,900	13.60%
	GC 6	$167,100	$196,500	23.40%
	GC 7	$192,100	$225,900	23.40%
	GC 8	$220,500	$259,300	23.40%
	GC 9	$253,700	$298,400	23.40%
	GC 10	$291,300	$342,700	28.40%
	GCQ 1	$91,700	$107,800
	GCQ 2	$105,300	$123,800
	GCQ 3	$121,400	$142,800
	GCQ 4	$139,500	$164,100
	GCQ 5	$160,200	$188,400
	GCQ 6	$196,000	$230,500
	GCQ 7	$225,500	$265,200
	GCQ 8	$258,900	$304,500
	GCQ 9	$297,500	$350,000
	GCQ 10	$350,800	$412,700
2019	GC 1	$81,800	$96,200	13.60%
	GC 2	$93,900	$110,400	13.60%
	GC 3	$108,400	$127,500	13.60%
	GC 4	$124,600	$146,500	13.60%
	GC 5	$143,100	$168,300	13.60%
	GC 6	$164,500	$193,500	23.40%
	GC 7	$189,200	$222,500	23.40%
	GC 8	$217,100	$255,400	23.40%
	GC 9	$249,900	$293,900	23.40%
	GC 10	$287,000	$337,600	28.40%
	GCQ 1	$90,300	$106,200
	GCQ 2	$103,700	$121,900
	GCQ 3	$119,600	$140,600
	GCQ 4	$137,400	$161,600
	GCQ 5	$157,800	$185,600
	GCQ 6	$193,000	$227,000
	GCQ 7	$222,100	$261,200
	GCQ 8	$255,000	$300,000
	GCQ 9	$293,100	$344,800
	GCQ 10	$345,700	$406,600
2018	GC 1	$80,000	$94,100	13.60%
	GC 2	$91,800	$108,000	13.60%
	GC 3	$106,000	$124,700	13.60%
	GC 4	$121,900	$143,300	13.60%
	GC 5	$140,000	$164,600	13.60%
	GC 6	$161,000	$189,300	23.40%
	GC 7	$185,100	$217,700	23.40%
	GC 8	$212,500	$249,900	23.40%
	GC 9	$244,400	$287,500	23.40%
	GC 10	$280,800	$330,300	28.40%
	GCQ 1	$88,400	$103,900
	GCQ 2	$101,400	$119,200
	GCQ 3	$116,900	$137,500
	GCQ 4	$134,400	$158,100
	GCQ 5	$154,400	$181,600
	GCQ 6	$188,800	$222,100
	GCQ 7	$217,200	$255,500
	GCQ 8	$249,500	$293,500
	GCQ 9	$286,800	$337,300
	GCQ 10	$338,200	$397,800
2017	GC 1	$77,800	$91,500	13.60%
	GC 2	$89,300	$105,000	13.60%
	GC 3	$103,200	$121,300	13.60%
	GC 4	$118,500	$139,300	13.60%
	GC 5	$136,100	$160,100	13.60%
	GC 6	$156,500	$184,100	23.40%
	GC 7	$180,000	$211,700	23.40%
	GC 8	$206,600	$243,000	23.40%
	GC 9	$237,700	$279,600	23.40%
	GC 10	$273,200	$321,300	28.40%
	GCQ 1	$85,900	$101,000
	GCQ 2	$98,600	$115,900
	GCQ 3	$113,700	$133,700
	GCQ 4	$130,700	$153,700
	GCQ 5	$150,200	$176,600
	GCQ 6	$183,600	$216,000
	GCQ 7	$211,300	$248,500
	GCQ 8	$242,700	$285,500
	GCQ 9	$278,900	$328,100
	GCQ 10	$328,900	$386,900
2016	GC 1	$76,800	$90,300	13.60%
	GC 2	$88,200	$103,700	13.60%
	GC 3	$101,900	$119,800	13.60%
	GC 4	$116,900	$137,500	13.60%
	GC 5	$134,400	$158,100	13.60%
	GC 6	$154,600	$181,800	23.40%
	GC 7	$177,700	$209,000	23.40%
	GC 8	$204,000	$240,000	23.40%
	GC 9	$234,700	$276,100	23.40%
	GC 10	$269,800	$317,300	28.40%
	GCQ 1	$84,800	$99,700
	GCQ 2	$97,300	$114,400
	GCQ 3	$112,200	$132,000
	GCQ 4	$129,100	$151,800
	GCQ 5	$148,300	$174,400
	GCQ 6	$181,400	$213,300
	GCQ 7	$208,600	$245,400
	GCQ 8	$239,700	$281,900
	GCQ 9	$275,400	$324,000
	GCQ 10	$324,800	$382,100
2015	GC 1	$75,100	$88,300	13.60%
	GC 2	$86,200	$101,400	13.60%
	GC 3	$99,600	$117,100	13.60%
	GC 4	$114,300	$134,400	13.60%
	GC 5	$131,500	$154,600	13.60%
	GC 6	$151,100	$177,700	23.40%
	GC 7	$173,700	$204,300	23.40%
	GC 8	$199,500	$234,600	23.40%
	GC 9	$229,500	$269,900	23.40%
	GC 10	$263,700	$310,200	28.40%
	GCQ 1	$82,800	$97,400
	GCQ 2	$95,100	$111,800
	GCQ 3	$109,700	$129,000
	GCQ 4	$126,200	$148,400
	GCQ 5	$145,000	$170,500
