fiscal_year_start,group_level,group,level,salary_min,salary_max,max_performance_award
2021,CEO 1,CEO,1,142200,167200,0.15
2021,CEO 2,CEO,2,170300,200300,0.15
2021,CEO 3,CEO,3,204200,240200,0.15
2021,CEO 4,CEO,4,244800,287900,0.26
2021,CEO 5,CEO,5,293600,345400,0.26
2021,CEO 6,CEO,6,352400,414500,0.28
2021,CEO 7,CEO,7,422600,497100,0.28
2021,CEO 8,CEO,8,506800,596200,0.33
2021,DM 1,DM,1,219300,258000,0.26
2021,DM 2,DM,2,252000,296400,0.33
2021,DM 3,DM,3,282200,332000,0.33
2021,DM 4,DM,4,315900,371600,0.39
2021,EX 1,EX,1,121550,142982,0.15
2021,EX 2,EX,2,136270,160299,0.15
2021,EX 3,EX,3,152506,179348,0.15
2021,EX 4,EX,4,174802,205650,0.26
2021,EX 5,EX,5,195908,230436,0.26
2021,GC 1,GC,1,84400,99200,0.136
2021,GC 2,GC,2,96800,113800,0.136
2021,GC 3,GC,3,111800,131500,0.136
2021,GC 4,GC,4,128400,151000,0.136
2021,GC 5,GC,5,147500,173500,0.136
2021,GC 6,GC,6,169600,199500,0.23399999999999999
2021,GC 7,GC,7,195000,229300,0.23399999999999999
2021,GC 8,GC,8,223800,263200,0.23399999999999999
2021,GC 9,GC,9,257500,302900,0.23399999999999999
2021,GC 10,GC,10,295800,347900,0.284
2021,GCQ 1,GCQ,1,93100,109500,NA
2021,GCQ 2,GCQ,2,106900,125700,NA
2021,GCQ 3,GCQ,3,123300,145000,NA
2021,GCQ 4,GCQ,4,141700,166600,NA
2021,GCQ 5,GCQ,5,162700,191300,NA
2021,GCQ 6,GCQ,6,198900,234000,NA
2021,GCQ 7,GCQ,7,228900,269200,NA
2021,GCQ 8,GCQ,8,262800,309100,NA
2021,GCQ 9,GCQ,9,302100,355300,NA
2021,GCQ 10,GCQ,10,356100,418900,NA
2020,CEO 1,CEO,1,140000,164700,0.15
2020,CEO 2,CEO,2,167800,197300,0.15
2020,CEO 3,CEO,3,201200,236600,0.15
2020,CEO 4,CEO,4,241100,283600,0.26
2020,CEO 5,CEO,5,289200,340200,0.26
2020,CEO 6,CEO,6,347100,408300,0.28
2020,CEO 7,CEO,7,416300,489700,0.28
2020,CEO 8,CEO,8,499300,587300,0.33
2020,DM 1,DM,1,216000,254100,0.26
2020,DM 2,DM,2,248200,292000,0.33
2020,DM 3,DM,3,278000,327000,0.33
2020,DM 4,DM,4,311200,366100,0.39
2020,EX 1,EX,1,119754,140869,0.15
2020,EX 2,EX,2,134256,157930,0.15
2020,EX 3,EX,3,150252,176698,0.15
2020,EX 4,EX,4,172219,202611,0.26
2020,EX 5,EX,5,193013,227031,0.26
2020,GC 1,GC,1,83100,97700,0.136
2020,GC 2,GC,2,95300,112100,0.136
2020,GC 3,GC,3,110100,129500,0.136
2020,GC 4,GC,4,126400,148700,0.136
2020,GC 5,GC,5,145300,170900,0.136
2020,GC 6,GC,6,167100,196500,0.23399999999999999
2020,GC 7,GC,7,192100,225900,0.23399999999999999
2020,GC 8,GC,8,220500,259300,0.23399999999999999
2020,GC 9,GC,9,253700,298400,0.23399999999999999
2020,GC 10,GC,10,291300,342700,0.284
2020,GCQ 1,GCQ,1,91700,107800,NA
2020,GCQ 2,GCQ,2,105300,123800,NA
2020,GCQ 3,GCQ,3,121400,142800,NA
2020,GCQ 4,GCQ,4,139500,164100,NA
2020,GCQ 5,GCQ,5,160200,188400,NA
2020,GCQ 6,GCQ,6,196000,230500,NA
2020,GCQ 7,GCQ,7,225500,265200,NA
2020,GCQ 8,GCQ,8,258900,304500,NA
2020,GCQ 9,GCQ,9,297500,350000,NA
2020,GCQ 10,GCQ,10,350800,412700,NA
2019,CEO 1,CEO,1,137900,162200,0.15
2019,CEO 2,CEO,2,165200,194300,0.15
2019,CEO 3,CEO,3,198200,233100,0.15
2019,CEO 4,CEO,4,237500,279400,0.26
2019,CEO 5,CEO,5,284900,335100,0.26
2019,CEO 6,CEO,6,341900,402200,0.28
2019,CEO 7,CEO,7,410100,482400,0.28
2019,CEO 8,CEO,8,491900,578600,0.33
2019,DM 1,DM,1,212800,250300,0.26
2019,DM 2,DM,2,244500,287600,0.33
2019,DM 3,DM,3,273800,322100,0.33
2019,DM 4,DM,4,306600,360600,0.39
2019,EX 1,EX,1,117984,138787,0.15
2019,EX 2,EX,2,132272,155596,0.15
2019,EX 3,EX,3,148032,174087,0.15
2019,EX 4,EX,4,169674,199617,0.26
2019,EX 5,EX,5,190161,223676,0.26
2019,GC 1,GC,1,81800,96200,0.136
2019,GC 2,GC,2,93900,110400,0.136
2019,GC 3,GC,3,108400,127500,0.136
