pc_number,attachments,text,date,act,precis
2012-1354,," PC Number Date Chapter Bill Dept 2012-13542012-10-09, PMO, , , PrecisSalary Order (Heads of Mission).AttachmentsAttachmentAttachment",2012-10-09,NA,Salary Order (Heads of Mission).
2013-0402,," PC Number Date Chapter Bill Dept 2013-04022013-04-18, PMO, , , ActOther Than Statutory AuthorityOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Crown Corporations).AttachmentsAttachmentAttachmentAttachment",2013-04-18,"Other Than Statutory Authority
Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Crown Corporations).
2013-0929,," PC Number Date Chapter Bill Dept 2013-09292013-09-27, PMO, , , ActOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Deputy Ministers)AttachmentsAttachmentAttachment",2013-09-27,"Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Deputy Ministers)
2013-0930,," PC Number Date Chapter Bill Dept 2013-09302013-09-27, , PMO, , ActOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Heads of Agencies)AttachmentsAttachmentAttachment",2013-09-27,"Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Heads of Agencies)
2013-0931,," PC Number Date Chapter Bill Dept 2013-09312013-09-27, , , PMO, PrecisSalary Order (Heads of Mission).AttachmentsAttachmentAttachment",2013-09-27,NA,Salary Order (Heads of Mission).
2013-0932,," PC Number Date Chapter Bill Dept 2013-09322013-09-27, , , , , , PMOActOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Management Pay).AttachmentsAttachmentAttachment",2013-09-27,"Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Management Pay).
2013-1353,," PC Number Date Chapter Bill Dept 2013-13532013-12-06, , , , PMO, ActOther Than Statutory AuthorityOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Economic Increase for Deputy Ministers).AttachmentsAttachmentAttachmentAttachment",2013-12-06,"Other Than Statutory Authority
Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Economic Increase for Deputy Ministers).
2013-1356,," PC Number Date Chapter Bill Dept 2013-13562013-12-12, , , PMO, ActOther Than Statutory AuthorityOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Economic Increase for Heads of Agencies).AttachmentsAttachmentAttachmentAttachment",2013-12-12,"Other Than Statutory Authority
Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Economic Increase for Heads of Agencies).
2013-1357,," PC Number Date Chapter Bill Dept 2013-13572013-12-12, , PMO, , ActOther Than Statutory AuthorityOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order (Economic Increase for Heads of Mission).AttachmentsAttachmentAttachmentAttachment",2013-12-12,"Other Than Statutory Authority
Other Than Statutory Authority
Other Than Statutory Authority",Salary Order (Economic Increase for Heads of Mission).
2014-0158,," PC Number Date Chapter Bill Dept 2014-01582014-02-18, , , , PMOActOther Than Statutory AuthorityOther Than Statutory AuthorityOther Than Statutory AuthorityPrecisSalary Order, Economic Increase (Management Pay).AttachmentsAttachmentAttachmentAttachment",2014-02-18,"Other Than Statutory Authority
Other Than Statutory Authority
Other Than Statutory Authority","Salary Order, Economic Increase (Management Pay)."
